Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8444621,Through the Language Glass: Why the World Looks Different in Other Languages,Guy Deutscher,"Deutscher, Guy",,"=""080508195X""","=""9780805081954""",0,3.91,Metropolitan Books,Hardcover,304,2010,2010,,2019/04/30,to-read,to-read (#68),to-read,,,,0,0
179744,The Emperor's New Mind,Roger Penrose,"Penrose, Roger",,"=""0192861980""","=""9780192861986""",0,3.91,Oxford University Press,Paperback,602,1999,1989,,2019/04/30,to-read,to-read (#67),to-read,,,,0,0
334176,"The Sparrow (The Sparrow, #1)",Mary Doria Russell,"Russell, Mary Doria",,"=""0449912558""","=""9780449912553""",0,4.14,Ballantine Books,Paperback,419,1997,1996,,2019/04/28,to-read,to-read (#66),to-read,,,,0,0
7244,The Poisonwood Bible,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060786507""","=""9780060786502""",0,4.11,Harper Perennial Modern Classics,Paperback,546,2005,1998,,2019/04/27,to-read,to-read (#65),to-read,,,,0,0
6433752,The Lacuna,Barbara Kingsolver,"Kingsolver, Barbara",,"=""0060852577""","=""9780060852573""",0,3.82,Harper,Hardcover,508,2009,2009,,2019/04/27,to-read,to-read (#64),to-read,,,,0,0
2982466,Nothing to Be Frightened Of,Julian Barnes,"Barnes, Julian",,"=""0307269639""","=""9780307269638""",0,3.81,Knopf,Hardcover,243,2008,2008,,2019/04/22,to-read,to-read (#63),to-read,,,,0,0
52529,"The Secret (The Secret, #1)",Rhonda Byrne,"Byrne, Rhonda",,"=""""","=""""",0,3.74,Atria Books/Beyond Words,Hardcover,199,2006,2006,,2019/04/21,to-read,to-read (#62),to-read,,,,0,0
1303,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""0140280197""","=""9780140280197""",0,4.10,Penguin Books,Paperback,452,2000,1998,,2019/04/21,to-read,to-read (#61),to-read,,,,0,0
143628,Churchill: A Biography,Roy  Jenkins,"Jenkins, Roy",,"=""0452283523""","=""9780452283527""",0,3.91,Plume,Paperback,1024,2002,2001,,2019/04/20,to-read,to-read (#60),to-read,,,,0,0
7190,The Three Musketeers,Alexandre Dumas,"Dumas, Alexandre","Richard Pevear, Philip Bates, William Barrow, August Zoller, Marisa Zini, Moshe Ukle, Pierre Toutain-Dorbec, John      Lee, Jacques Georges Clemenc Le Clercq, Natalie Montoto, S.M. Sheley, Daniel Rasmusson, Louis Jourdan, Walter Covell, Michael Page, Michael Hugh Johnson, Sylvie Thorel-Cailleteau, Milo Winter, Bill Homewood, Arthur Paul John Charles James Gore Sudley, S.N. Rizvi, Giorgio Manganelli, William Robson, Isabel Ely Lord, Александр Дюма","=""""","=""""",0,4.10,Modern Library,Paperback,625,2001,1844,,2019/04/20,to-read,to-read (#59),to-read,,,,1,0
